MD5 differential path toolbox
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[11] = [!13!]
Q-3:	|01101010 11001010 11111111 10001100|
Q62:	|.......0 +....... ........ ........| ok p=1
Q63:	|.......+ -....... ........ ........| ok p=0.998047
Q64:	|........ +....... ...+.... ........|
Starting...
20: Q5m5tunnel      = 4
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 5
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 4
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 5
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 4
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 5
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
20: Q5m5tunnel      = 4
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 5
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 4
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 5
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
..20: Q5m5tunnel      = 4
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 5
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 4
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 5
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
20: Q5m5tunnel      = 4
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 1
21: Q10m10tunnel    = 3
21: Q9m10tunnel     = 5
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 14
24: Q9m9tunnel      = 9
25: Q14Q3m14tunnel  = 0
..1 0
2 0
4 0
8 0
16 0
32 0
64 0
128 0
256 0
512 0
1024 0
2048 0
4096 0
8192 0
16384 0
32768 0
65536 0
67749 1
104963 2
131072 2
139159 4
239092 8
262144 9
404840 16
524288 21
Block 1: workdir5/coll1_436755722
70 52 9f e5 84 8a e1 3d 3b 9a 13 54 c8 bf c5 35 
c4 17 5c f7 d3 c2 7e 0d 10 a0 37 b0 27 fb 6f 52 
30 62 36 0e 7f b6 84 5e fc 10 30 67 f7 46 34 80 
86 b4 f0 94 da 8a f7 d6 25 4b ca ea 5b a2 1f eb 
Block 2: workdir5/coll2_436755722
70 52 9f e5 84 8a e1 3d 3b 9a 13 54 c8 bf c5 35 
c4 17 5c f7 d3 c2 7e 0d 10 a0 37 b0 27 fb 6f 52 
30 62 36 0e 7f b6 84 5e fc 10 30 67 f7 66 34 80 
86 b4 f0 94 da 8a f7 d6 25 4b ca ea 5b a2 1f eb 
Found collision!
